terror,placebo,pintr,pintr_placebo,male,age,edu,party,O_sd,C_sd,E_sd,A_sd,N_sd,optrt5o1,optrt5o2,optrt5o3
NA,NA,1,-0,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-0,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,1,2,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,2,2,0,74,12,-8,-0.5657813084787797,-0.13780872439933817,0.23839353365412075,-0.22704428944320984,-0.2461012273319995,1,1,7
1,NA,1,1,1,70,NA,-8,-0.16082198787268154,-0.4432212536754046,NA,-1.0525203310294087,0.5115414912318469,4,3,5
NA,NA,3,3,0,66,NA,3,0.24413733273341667,-0.2905149890373714,0.23839353365412075,-0.06194908112597008,0.13272013194992371,5,6,4
NA,NA,2,2,0,58,3,-8,0.3791237729354494,0.32031006951476154,-0.044313375916857696,0.2682413355085094,0.2589939183772314,6,4,6
1,1,2,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,-0,-0,0,53,2,10,0.6490966533395148,0.47301633415279476,0.37974698843960997,0.2682413355085094,0.2589939183772314,5,7,6
NA,NA,-0,-0,1,28,7,10,0.3791237729354494,0.014897540238695073,0.37974698843960997,0.5984317521429889,-0.3723750137593072,6,5,5
1,NA,-0,-0,1,25,NA,10,0.9190695337435804,0.625722598790828,0.5211004432250992,-0.8874251227121689,0.006446345522615976,7,6,7
NA,NA,-0,-0,0,48,7,10,-0.29580842807471425,0.1676038048767283,0.37974698843960997,0.4333365438257492,-0.2461012273319995,4,3,4
NA,NA,2,NA,0,22,4,-8,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,2,3,1,80,10,-8,0.5141102131374822,0.1676038048767283,-0.1856668307023469,-0.06194908112597008,0.2589939183772314,6,5,6
NA,NA,2,1,0,65,12,-8,1.054055973945613,-0.13780872439933817,0.23839353365412075,-0.22704428944320984,0.5115414912318469,7,7,7
NA,NA,-0,2,1,71,10,-8,-1.375699949690976,0.7784288634288612,-0.6097271950588146,0.7635269604602287,-0.2461012273319995,1,1,1
NA,NA,2,1,0,40,4,-8,0.24413733273341667,-0.4432212536754046,0.09704007886863153,-0.06194908112597008,-0.2461012273319995,5,5,5
NA,1,1,1,0,51,12,-8,-0.5657813084787797,-0.13780872439933817,0.23839353365412075,0.2682413355085094,1.2691842097956931,1,7,1
NA,NA,1,2,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,-0,-0,1,56,6,-8,-0.16082198787268154,-0.2905149890373714,-0.1856668307023469,-0.06194908112597008,0.006446345522615976,4,3,5
NA,NA,1,2,1,60,6,-1,1.054055973945613,0.625722598790828,0.5211004432250992,0.2682413355085094,-0.3723750137593072,7,7,7
NA,NA,1,1,0,60,4,-8,0.24413733273341667,-0.13780872439933817,0.09704007886863153,0.2682413355085094,0.2589939183772314,4,6,5
0,NA,-0,-0,0,66,12,-1,-0.9707406290848779,-0.13780872439933817,-0.044313375916857696,-0.22704428944320984,0.13272013194992371,2,2,2
0,NA,2,2,0,60,4,-8,-0.16082198787268154,0.32031006951476154,-0.1856668307023469,-0.7223299143949291,-0.2461012273319995,3,4,5
0,NA,-0,NA,0,22,6,-8,-0.0258355476706488,0.1676038048767283,0.6624538980105884,0.10314612719126968,0.006446345522615976,4,3,6
0,NA,1,1,1,70,10,-8,-0.5657813084787797,-0.13780872439933817,0.09704007886863153,-0.06194908112597008,-0.2461012273319995,3,3,3
0,NA,1,2,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,2,1,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,-0,0,41,4,-8,-0.29580842807471425,0.32031006951476154,0.37974698843960997,0.4333365438257492,0.13272013194992371,4,4,3
NA,NA,NA,NA,1,20,NA,-7,0.7840830935415476,0.1676038048767283,0.5211004432250992,0.2682413355085094,0.2589939183772314,5,7,7
NA,NA,2,-0,1,43,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,3,3,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2,1,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,3,3,0,89,12,-8,-0.5657813084787797,NA,-0.1856668307023469,NA,-0.2461012273319995,4,4,1
NA,NA,1,2,0,50,7,-8,0.6490966533395148,-0.2905149890373714,1.086514262367056,0.10314612719126968,1.1429104233683856,4,7,7
NA,NA,2,2,1,49,4,-8,-0.0258355476706488,0.47301633415279476,0.09704007886863153,0.7635269604602287,-0.3723750137593072,4,4,5
NA,NA,2,2,1,27,4,-8,0.10915089253138394,0.32031006951476154,-0.1856668307023469,0.10314612719126968,-0.6249225866139226,5,4,5
NA,1,-0,1,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2,3,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,1,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,2,2,0,79,12,-8,-0.16082198787268154,0.625722598790828,-0.7510806498443038,0.5984317521429889,0.38526770480453915,4,6,2
0,NA,1,1,0,80,12,-8,-0.5657813084787797,-0.9013400475895043,0.09704007886863153,-0.5572347060776893,0.2589939183772314,1,2,6
0,1,1,-0,0,65,12,1,-0.5657813084787797,-0.7486337829514711,-0.3270202854878361,-0.8874251227121689,0.006446345522615976,3,3,3
0,1,2,1,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
0,1,3,2,0,66,12,-8,0.3791237729354494,-0.2905149890373714,-0.4683737402733254,0.5984317521429889,-0.49864880018661495,6,5,5
NA,NA,2,2,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,3,2,0,85,7,-8,0.3791237729354494,0.1676038048767283,-0.044313375916857696,0.4333365438257492,0.5115414912318469,4,6,6
1,NA,1,2,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,2,1,66,12,-8,-1.1057270692869106,-0.7486337829514711,-0.892434104629793,-0.8874251227121689,-0.49864880018661495,1,1,3
NA,NA,-0,1,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,2,2,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,1,1,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
